frame_number,timestamp_s,ball_detected,x_center,y_center,is_interpolated,confidence
584,23.3200,1,768.73,769.40,0,0.202
585,23.3600,1,767.90,770.57,1,0.000
586,23.4000,1,1266.33,415.74,0,0.058
587,23.4400,1,1502.69,247.74,1,0.000
588,23.4800,1,1715.41,96.55,1,0.000
589,23.5200,1,1906.27,-39.10,1,0.000
590,23.5600,1,2076.92,-160.39,1,0.000
591,23.6000,1,2228.91,-268.42,1,0.000
592,23.6400,1,2363.67,-364.20,1,0.000
593,23.6800,1,768.94,760.58,0,0.053
594,23.7200,1,1207.49,424.97,0,0.086
595,23.7600,1,1624.12,106.15,1,0.000
596,23.8000,1,1139.45,433.28,0,0.299
597,23.8400,1,1108.01,436.01,0,0.081
598,23.8800,1,1075.57,439.53,0,0.202
599,23.9200,1,1045.44,441.69,0,0.291
600,23.9600,1,1013.44,448.21,0,0.182
601,24.0000,1,985.57,450.88,0,0.141
602,24.0400,1,956.76,454.84,0,0.479
603,24.0800,1,931.44,458.08,0,0.537
604,24.1200,1,903.55,461.19,0,0.469
605,24.1600,1,879.93,463.48,0,0.383
606,24.2000,1,858.07,471.13,0,0.056
607,24.2400,1,837.30,478.39,1,0.000
608,24.2800,1,818.61,484.93,1,0.000
609,24.3200,1,797.34,475.68,0,0.070
610,24.3600,1,779.21,477.79,0,0.688
611,24.4000,1,761.99,479.80,1,0.000
612,24.4400,1,746.49,481.61,1,0.000
613,24.4800,1,732.58,483.23,1,0.000
614,24.5200,1,720.15,484.69,1,0.000
615,24.5600,1,709.07,485.98,1,0.000
616,24.6000,1,699.25,487.12,1,0.000
617,24.6400,1,690.59,488.14,1,0.000
618,24.6800,1,683.00,489.02,1,0.000
619,24.7200,1,676.38,489.79,1,0.000
620,24.7600,1,670.67,490.46,1,0.000
621,24.8000,1,834.04,479.24,0,0.075
622,24.8400,1,838.78,479.37,1,0.000
623,24.8800,1,843.04,479.48,1,0.000
624,24.9200,1,848.89,480.94,0,0.232
625,24.9600,1,855.82,482.03,0,0.466
626,25.0000,1,857.75,481.21,0,0.309
627,25.0400,1,860.62,481.53,0,0.081
628,25.0800,1,863.35,481.84,1,0.000
629,25.1200,1,875.33,482.85,0,0.060
630,25.1600,1,877.35,483.56,0,0.338
631,25.2000,1,879.66,483.85,0,0.257
632,25.2400,1,883.34,483.69,0,0.177
633,25.2800,1,885.40,484.20,0,0.063
634,25.3200,1,887.35,484.70,1,0.000
635,25.3600,1,890.81,483.49,0,0.113
636,25.4000,1,893.38,483.14,1,0.000
637,25.4400,1,895.69,482.84,1,0.000
638,25.4800,1,897.76,482.56,1,0.000
639,25.5200,1,899.62,482.31,1,0.000
640,25.5600,1,1215.06,597.02,0,0.052
641,25.6000,1,1276.67,618.59,1,0.000
642,25.6400,1,1332.12,638.00,1,0.000
643,25.6800,1,1381.87,655.42,1,0.000
644,25.7200,1,1426.35,671.00,1,0.000
645,25.7600,1,1465.96,684.87,1,0.000
646,25.8000,1,1501.09,697.17,1,0.000
647,25.8400,1,1532.08,708.02,1,0.000
648,25.8800,1,1076.78,476.49,0,0.058
649,25.9200,1,1060.36,462.18,1,0.000
650,25.9600,1,1045.58,449.30,1,0.000
651,26.0000,1,1032.32,437.74,1,0.000
652,26.0400,1,1020.46,427.40,1,0.000
653,26.0800,1,1009.90,418.20,1,0.000
654,26.1200,1,1000.54,410.04,1,0.000
655,26.1600,1,992.28,402.84,1,0.000
656,26.2000,1,985.04,396.53,1,0.000
657,26.2400,1,978.73,391.03,1,0.000
658,26.2800,1,973.28,386.28,1,0.000
659,26.3200,1,968.63,382.22,1,0.000
660,26.3600,1,949.63,523.50,0,0.068
661,26.4000,1,948.27,524.35,0,0.054
662,26.4400,1,946.71,526.18,0,0.130
663,26.4800,1,944.58,525.51,0,0.077
664,26.5200,1,942.06,530.01,0,0.082
665,26.5600,1,939.66,534.28,1,0.000
666,26.6000,1,937.50,538.13,1,0.000
667,26.6400,1,1051.60,481.83,0,0.057
668,26.6800,1,1046.44,482.16,0,0.191
669,26.7200,1,1041.77,483.41,0,0.122
670,26.7600,1,1038.04,484.09,0,0.146
671,26.8000,1,1033.97,485.15,0,0.338
672,26.8400,1,1032.38,484.88,0,0.206
673,26.8800,1,1026.32,487.09,0,0.111
674,26.9200,1,1020.64,488.08,0,0.134
675,26.9600,1,1016.23,488.08,0,0.070
676,27.0000,1,1012.02,489.44,0,0.135
677,27.0400,1,1010.66,490.87,0,0.179
678,27.0800,1,1009.07,491.12,0,0.149
679,27.1200,1,1004.75,489.55,0,0.079
680,27.1600,1,1000.36,488.73,0,0.072
681,27.2000,1,997.38,490.02,0,0.086
682,27.2400,1,996.67,490.17,0,0.172
683,27.2800,1,996.52,488.25,0,0.100
684,27.3200,1,995.53,490.06,0,0.119
685,27.3600,1,994.58,491.78,1,0.000
686,27.4000,1,992.29,488.57,0,0.054
687,27.4400,1,990.70,488.75,0,0.159
688,27.4800,1,989.53,488.94,0,0.151
689,27.5200,1,986.20,489.01,0,0.154
690,27.5600,1,985.71,489.24,0,0.273
691,27.6000,1,985.20,488.64,0,0.175
692,27.6400,1,983.67,490.08,0,0.117
693,27.6800,1,983.01,489.74,0,0.051
694,27.7200,1,980.89,489.65,0,0.149
695,27.7600,1,978.88,489.57,1,0.000
696,27.8000,1,1632.39,523.33,0,0.076
697,27.8400,1,976.20,490.36,0,0.085
698,27.8800,1,352.81,459.04,1,0.000
699,27.9200,1,972.50,491.52,0,0.076
700,27.9600,1,972.28,491.67,0,0.140
701,28.0000,1,971.21,492.23,0,0.096
702,28.0400,1,967.72,492.02,0,0.087
703,28.0800,1,1568.13,524.07,0,0.051
704,28.1200,1,962.31,492.31,0,0.089
705,28.1600,1,961.99,494.89,0,0.056
706,28.2000,1,1911.86,470.07,0,0.228
707,28.2400,1,1909.54,466.66,0,0.200
708,28.2800,1,1906.80,458.98,0,0.111
709,28.3200,1,1904.19,451.67,1,0.000
710,28.3600,1,1901.84,445.10,1,0.000
711,28.4000,1,1899.74,439.20,1,0.000
712,28.4400,1,1471.38,529.22,0,0.156
713,28.4800,1,1367.96,545.90,1,0.000
714,28.5200,1,1274.89,560.92,1,0.000
715,28.5600,1,1191.39,574.39,1,0.000
716,28.6000,1,944.03,494.58,0,0.086
717,28.6400,1,943.04,494.35,0,0.052
718,28.6800,1,942.09,494.12,1,0.000
719,28.7200,1,941.24,493.92,1,0.000
720,28.7600,1,1910.98,631.21,0,0.190
721,28.8000,1,1909.23,626.95,0,0.130
722,28.8400,1,1907.57,622.90,1,0.000
723,28.8800,1,1906.07,619.26,1,0.000
724,28.9200,1,891.80,570.04,0,0.275
725,28.9600,1,902.36,571.10,0,0.167
726,29.0000,1,912.39,572.11,1,0.000
727,29.0400,1,921.41,573.01,1,0.000
728,29.0800,1,1672.96,912.01,0,0.051
729,29.1200,1,1916.98,1019.97,1,0.000
730,29.1600,1,2136.61,1117.13,1,0.000
731,29.2000,1,2333.65,1204.30,1,0.000
732,29.2400,1,2509.84,1282.25,1,0.000
733,29.2800,1,1735.06,907.19,0,0.057
734,29.3200,1,1746.86,906.28,1,0.000
735,29.3600,1,1757.48,905.46,1,0.000
736,29.4000,1,1767.01,904.72,1,0.000
737,29.4400,1,1775.53,904.06,1,0.000
738,29.4800,1,1783.11,903.47,1,0.000
739,29.5200,1,1789.84,902.95,1,0.000
740,29.5600,1,1795.78,902.48,1,0.000
741,29.6000,1,1800.98,902.08,1,0.000
742,29.6400,1,1805.51,901.73,1,0.000
743,29.6800,1,1809.43,901.43,1,0.000
744,29.7200,1,1712.79,951.85,0,0.094
745,29.7600,1,1708.10,950.07,0,0.167
746,29.8000,1,1697.85,955.12,0,0.248
747,29.8400,1,1688.11,959.91,1,0.000
748,29.8800,1,1679.34,964.22,1,0.000
749,29.9200,1,1671.48,968.09,1,0.000
750,29.9600,1,1664.44,971.55,1,0.000
